slug	cultivar	price	note	url	image	hybridizer	year	parentage	color	branches	budcount	form	foliagetype	seedlingnum	bloomhabit	fragrance	scapeheight	bloomseason	rebloom	bloomsize	ploidy	sculpting	id
louisville-ghost-orchid	Louisville Ghost Orchid			https://daylilies.org/DaylilyDB/detail.php?id=181177		Massengill	2016	(Winter Quarter × Simplicity in Motion)	orchid lavender blend with white midribs and yellow throat	2	14	Unusual FormSpatulate	Dormant	05/LA/JW/1/W25XSIM	Diurnal		36 in, (91 cm) 	Midseason		7 in, (18 cm) 	Diploid		181177
manhattan-night	Manhattan Night	$8.00	sale 6 sf	https://daylilies.org/DaylilyDB/detail.php?id=30306	https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Manhattan Night- Mun Cat_1552274918.jpg	Munson-R.W.	1989		purple self with chartreuse throat				Semi-Evergreen		Diurnal		34 in, (86 cm) 	Early-Midseason,Rebloom		5 in, (13 cm) 	Tetraploid		30306
marty-debolt	Marty DeBolt			https://daylilies.org/DaylilyDB/detail.php?id=158563		Breshears	2007	(sdlg × sdlg)	red orange self above green throat	5	35	Double 100%	Semi-Evergreen	TJAG 417	Diurnal		24 in, (61 cm) 	Midseason,Rebloom		2.5 in, (6 cm) 	Diploid		158563
mary-frances-ragain	Mary Frances Ragain	$12.00		https://daylilies.org/DaylilyDB/detail.php?id=6838	https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mary Frances Ragain_Carpenter J from Beth Creveling_1544369558.JPG	Carpenter-J.	1993		pink self with green yellow throat				Semi-Evergreen	JC-91-stiffpink	Diurnal	Fragrant	26 in, (66 cm) 	Midseason-Late,Rebloom		6 in, (15 cm) 	Diploid		6838
midnight-in-the-garden	Midnight In The Garden			https://daylilies.org/DaylilyDB/detail.php?id=157814	https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Midnight in the Garden Brooker website_1551387591.jpg	Brooker-G	2007	(Tet. Lavender Blue Baby × Forbidden Desires)	deep purple with light lavender watermark and green to yellow ruffled edge above green to yellow throat	3	20		Semi-Evergreen	6-13	Extended		28 in, (71 cm) 	Midseason-Late,Rebloom		6.5 in, (17 cm) 	Tetraploid		157814
miss-apache	Miss Apache	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=46240	https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Miss Apache Hansen cat scan_1552226311.jpg	Hansen-D.	2001	(Roses in Snow × (Calgary Stampede × Alexandra))	red with amber edge above yellow green throat	3	18	Unusual FormCrispate	Semi-Evergreen	MSAP	Diurnal		24 in, (61 cm) 	Midseason,Rebloom		6.5 in, (17 cm) 	Tetraploid		46240
nile-jewel	Nile Jewel	$12.00		https://daylilies.org/DaylilyDB/detail.php?id=154487		Salter-E.H.	2006		lavender purple with washed pale lavender eye above green throat				Evergreen	ES-06-17	Diurnal		22 in, (56 cm) 	Midseason,Rebloom		3.5 in, (9 cm) 	Diploid		154487
orange-thunder	Orange Thunder	$12.00		https://daylilies.org/DaylilyDB/detail.php?id=164458		Terrio	2010	(sdlg × Blended Sunlight)	pale orange, with a rose pink halo and a gold edge above a yellow throat	3	12		Evergreen	JT 8709	Diurnal		26 in, (66 cm) 	Early-Midseason,Rebloom		7 in, (18 cm) 	Tetraploid		164458
oxymoron	Oxymoron	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=7868	https://www.daylilies.org/DaylilyDB/AHSPhoto/O/Oxymoron Gates cat scan_1551217745.jpg	Gates-L.	1997		rose and pink bitone with a green throat				Evergreen	RO-54-93	Extended	Fragrant	22 in, (56 cm) 	Early,Rebloom		5.5 in, (14 cm) 	Diploid		7868
panama-scarlet	Panama Scarlet	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=141899	https://www.daylilies.org/DaylilyDB/AHSPhoto/P/Panama Scarlet- Wood_1560873815.jpg	Munson-R.W.	2000	(Harrods × ((Pirate Lord × Prime Minister) × Fiery Chariot))	red with gold red halo above green gold throat				Semi-Evergreen	RWM00-01	Diurnal		20 in, (51 cm) 	Early-Midseason		5 in, (13 cm) 	Tetraploid		141899
bluegrass-memories	Bluegrass Memories			https://daylilies.org/DaylilyDB/detail.php?id=154098	https://www.daylilies.org/DaylilyDB/AHSPhoto/B/Bluegrass_Memories.jpg	Preuss-T.	2006	(Unvanquished × Mrs John Cooper)	purple with slate blue eye above green throat	4	18		Semi-Evergreen	T04-19	Diurnal		24 in, (61 cm) 	Early-Midseason,Rebloom		5.5 in, (14 cm) 	Tetraploid		154098
pocket-change	Pocket Change			https://daylilies.org/DaylilyDB/detail.php?id=35344	https://www.daylilies.org/DaylilyDB/AHSPhoto/P/Pocket_Change.jpg	Crochet	1985		dark red with lighter edges and green throat				Semi-Evergreen	82-50	Diurnal		18 in, (46 cm) 	Early-Midseason		4.5 in, (11 cm) 	Diploid		35344
parrot-tattoo	Parrot Tattoo	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=156746	https://www.daylilies.org/DaylilyDB/AHSPhoto/P/Parrot Tattoo Peat website_1551885688.jpg	Peat	2007	(Vivacious Pam × (sdlg × Meet Joe Black))	cream pink with large bright red chevron eye and candy apple red gold ruffled knobby edge	4	24		Semi-Evergreen	JP-06-07	Diurnal	Fragrant	24 in, (61 cm) 	Midseason,Rebloom		5.75 in, (15 cm) 	Tetraploid		156746
sonic-bloom	Sonic Bloom			https://daylilies.org/DaylilyDB/detail.php?id=10154		Kinnebrew-J.	1996	(American Made × Ruffled Perfection)	yellow with red eyezone and green throat				Evergreen		Diurnal		25 in, (64 cm) 	Early-Midseason		6 in, (15 cm) 	Diploid		10154
persian-plum	Persian Plum	$8.00	sale 6 sf	https://daylilies.org/DaylilyDB/detail.php?id=34546		Munson-R.W.	1974	(Strasbourg × Chicago Regal)	mauve plum self with lime gold throat				Semi-Evergreen		Diurnal		30 in, (76 cm) 	Early,Rebloom		6 in, (15 cm) 	Tetraploid		34546
pink-ice-ballet	Pink Ice Ballet	$8.00		https://daylilies.org/DaylilyDB/detail.php?id=8293	https://www.daylilies.org/DaylilyDB/AHSPhoto/P/Pink Ice Ballet_Carpenter J from Beth Creveling_1544369561.jpg	Carpenter-J.	1995		pink self with green throat				Semi-Evergreen	JC-92-47	Diurnal	Fragrant	18 in, (46 cm) 	Early-Midseason,Rebloom		5.5 in, (14 cm) 	Diploid		8293
pink-lemonade-party	Pink Lemonade Party			https://daylilies.org/DaylilyDB/detail.php?id=154465		Salter	2006		pink medium pink bitone with cream edge above green throat	4	30		Semi-Evergreen	JS-06-10	Diurnal	Fragrant	28 in, (71 cm) 	Midseason,Rebloom		5.5 in, (14 cm) 	Tetraploid		154465
spacecoast-sprawler	Spacecoast Sprawler			https://daylilies.org/DaylilyDB/detail.php?id=141836		Kinnebrew-J.	2000	(sdlg × sdlg)	peach blend with gold edge above yellow green throat	3	25		Semi-Evergreen	(ABxSW)F2	Diurnal		28 in, (71 cm) 	Early-Midseason,Rebloom		6.75 in, (17 cm) 	Tetraploid		141836
true-devotion	True Devotion	$12.00		https://daylilies.org/DaylilyDB/detail.php?id=11126	https://www.daylilies.org/DaylilyDB/AHSPhoto/T/True Devotion Hansen cat scan_1552226338.jpg	Hansen-D.	2003	(unknown × unknown)	near white self above light yellow throat	5	34		Semi-Evergreen	ORBB?2	Diurnal		32 in, (81 cm) 	Very Late,Rebloom		6 in, (15 cm) 	Tetraploid		11126
urgent-embrace	Urgent Embrace	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=46745		Hansen-D.	2003	(Roses in Snow × La Vita)	red self above green throat	3	20		Semi-Evergreen	RIS*D	Diurnal		22 in, (56 cm) 	Extra Early,Rebloom		5 in, (13 cm) 	Tetraploid		46745
victorias-secret	Victoria's Secret	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=11411		Salter	1991		cream overlaid pink with distinct gold edge and lime green throat			Double	Semi-Evergreen		Diurnal		28 in, (71 cm) 	Midseason-Late,Rebloom		5.5 in, (14 cm) 	Tetraploid		11411
waltz-time	Waltz Time			https://daylilies.org/DaylilyDB/detail.php?id=43542		Terry	1976	(Sari × Moment of Truth)	orchid pink blend with chartreuse throat				Semi-Evergreen	83-5	Extended	Fragrant	30 in, (76 cm) 	Early-Midseason		6.5 in, (17 cm) 	Diploid		43542
westminster-lace	Westminster Lace	$12.00		https://daylilies.org/DaylilyDB/detail.php?id=11634		Salter	1992		pale ivory blend with deep gold edge and green throat				Semi-Evergreen	BOS-2	Diurnal		28 in, (71 cm) 	Early-Midseason,Rebloom		6 in, (15 cm) 	Tetraploid		11634
apricot-fantasy	Apricot Fantasy			https://daylilies.org/DaylilyDB/detail.php?id=188017		Salter	2019																188017
suburban-john-e-watts	Suburban John E. Watts			https://daylilies.org/DaylilyDB/detail.php?id=169274		Watts	2011	(unknown × unknown)	rose lavender with dark chevron above yellow eye with slight ruffles on the petals	4	24		Semi-Evergreen	Sub 30	Diurnal		28 in, (71 cm) 	Midseason,Rebloom		7 in, (18 cm) 	Diploid		169274
dash-dash	Dash Dash			https://daylilies.org/DaylilyDB/detail.php?id=18953		Zahler	1989	(Enchanted Elf × Siloam Virginia Henson)	cream yellow with yellow purple eyezone and green throat				Semi-Evergreen	EZ-EESVH-7	Diurnal	Fragrant	15 in, (38 cm) 	Early-Midseason		2.25 in, (6 cm) 	Diploid		18953
double-returns	Double Returns			https://daylilies.org/DaylilyDB/detail.php?id=2991		Roberson	1997	(Stella De Oro × Puddin)	gold self				Dormant	FJF-86-Gdoul	Extended	Fragrant	16 in, (41 cm) 	Early,Rebloom		2.87 in, (7 cm) 	Diploid		2991
grove-park-terrace	Grove Park Terrace			https://daylilies.org/DaylilyDB/detail.php?id=187024		Simpson-E.	2019																187024
oh-camille	Oh, Camille!			https://daylilies.org/DaylilyDB/detail.php?id=187440		Douglas-H.	2019																187440
oh-camille	Oh, Camille!		Bed Q5	https://daylilies.org/DaylilyDB/detail.php?id=187440		Douglas-H.	2019																187440
corsican-night	Corsican Night	$45.00		https://daylilies.org/DaylilyDB/detail.php?id=177107	https://www.daylilies.org/DaylilyDB/AHSPhoto/C/Corsican Night.jpg	Salter	2014	(unknown × unknown)	dusky rose lavender with an intense dark black purple eye and edge that appears very satiny in the sun				Evergreen	JS01-F14	Diurnal		30 in, (76 cm) 	Early-Midseason,Rebloom		6 in, (15 cm) 	Tetraploid		177107
1-about-rolling-oaks-daylilies	1. About Rolling Oaks Daylilies 		The Daylily garden of Kay Cline in Picayune, Ms.
See my website: 
https://www.rollingoaksdaylilies.com/																				
cloak-of-darkness	Cloak Of Darkness			https://daylilies.org/DaylilyDB/detail.php?id=164011	https://www.daylilies.org/DaylilyDB/AHSPhoto/C/Cloak_of_Darkness.jpg	DeVito	2012	(unknown × unknown)	deep purple with triangular green throat lined in white, ruffled edge	4	26		Semi-Evergreen	ND09-19	Diurnal	Fragrant	28 in, (71 cm) 	Early-Midseason,Rebloom		6.25 in, (16 cm) 	Tetraploid		164011
rose-masterpiece	Rose Masterpiece	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=9121	https://www.daylilies.org/DaylilyDB/AHSPhoto/R/Rose Masterpiece_Stamile from Monbeck_1516461104.jpg	Stamile	1998	(Seminole Wind × Majestic Pink)	rose self with green throat	4	25		Dormant	590-K	Extended	Fragrant	24 in, (61 cm) 	,Rebloom		7 in, (18 cm) 	Tetraploid		9121
flames-over-africa	Flames Over Africa	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=3732	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Flames Over Africa_1515775760.jpg	Munson-R.W.	1997	(Fred Ham × Cesare Borgia)	rose red with a pinkish red eyezone and yellow to green throat				Evergreen	CeBor:FH-9-90	Diurnal		24 in, (61 cm) 	Midseason-Late,Rebloom		7 in, (18 cm) 	Tetraploid		3732
